instrument,call_year,research_institution,n_granted,amount_granted
SNSF Advanced Grants,2021,Swiss Federal Institute of Aquatic Science and Technology,0,0
SNSF Starting Grants,2024,Berne University of Applied Sciences,0,0
SNSF Swiss Postdoctoral Fellowships,2023,Companies/  Private Industry,1,268128
SNSF Swiss Postdoctoral Fellowships,2021,Institute of Virology and Immunology,0,0
SNSF Swiss Postdoctoral Fellowships,2023,University of Lucerne,0,0
SNSF Swiss Postdoctoral Fellowships,2023,Pädagogische Hochschule der Fachhochschule Nordwestschweiz – PH-FHNW,0,0
SNSF Advanced Grants,2022,Institute Friedrich Miescher,0,0
SNSF Consolidator Grants,2023,Swiss Federal Laboratories for Materials Science and Technology,0,0
SNSF Swiss Postdoctoral Fellowships,2021,Lucerne University of Applied Sciences and Arts,0,0
SNSF Swiss Postdoctoral Fellowships,2021,Swiss Distance University Institute,0,0
SNSF Consolidator Grants,2022,University of Applied Sciences and Arts of Southern Switzerland,0,0
SNSF Starting Grants,2023,Swiss Federal Laboratories for Materials Science and Technology,0,0
SNSF Consolidator Grants,2022,Università della Svizzera italiana,0,0
SNSF Advanced Grants,2022,University of Fribourg,1,2078275
SNSF Advanced Grants,2021,Berne University of Applied Sciences,0,0
SNSF Consolidator Grants,2023,University of St.Gallen,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Ente Ospedaliero Cantonale,0,0
SNSF Swiss Postdoctoral Fellowships,2024,"Swiss Federal Institute for Forest, Snow and Landscape Research ",0,0
SNSF Consolidator Grants,2022,Paul Scherrer Institute,0,0
SNSF Swiss Postdoctoral Fellowships,2022,Institute Friedrich Miescher,0,0
SNSF Starting Grants,2022,Cantonal hospital of St.Gallen,1,1800000
SNSF Starting Grants,2023,Swiss Distance University Institute,0,0
SNSF Starting Grants,2023,Franklin University Switzerland,0,0
SNSF Swiss Postdoctoral Fellowships,2023,University of Applied Sciences and Arts of Southern Switzerland,0,0
SNSF Advanced Grants,2022,Berne University of Applied Sciences,0,0
SNSF Starting Grants,2024,Eastern Switzerland University of Applied Sciences,0,0
SNSF Starting Grants,2023,Berne University of Applied Sciences,0,0
SNSF Advanced Grants,2024,Zurich University of Applied Sciences,0,0
SNSF Advanced Grants,2024,Paul Scherrer Institute,1,2152460
SNSF Starting Grants,2024,International Institute for Management Development,0,0
SNSF Starting Grants,2023,"Non-profit organisations (libraries, museums, foundations) and administration",0,0
SNSF Starting Grants,2024,Swiss Paraplegic Research,0,0
SNSF Starting Grants,2024,Swiss Center for Electronics and Microtech.,0,0
SNSF Starting Grants,2023,Idiap Research Institute,0,0
SNSF Swiss Postdoctoral Fellowships,2023,University of Applied Sciences and Arts Western Switzerland – HES-SO,0,0
SNSF Advanced Grants,2024,Institute of Virology and Immunology,0,0
SNSF Advanced Grants,2022,University of Neuchatel,0,0
SNSF Advanced Grants,2021,Zurich University of the Arts,0,0
SNSF Consolidator Grants,2022,Companies/  Private Industry,1,1707701
SNSF Advanced Grants,2022,Swiss Federal Laboratories for Materials Science and Technology,0,0
SNSF Consolidator Grants,2023,University of Applied Sciences and Arts Western Switzerland – HES-SO,0,0
SNSF Starting Grants,2022,Graduate Institute of International and Development Studies,0,0
SNSF Swiss Postdoctoral Fellowships,2022,Institute of Virology and Immunology,0,0
SNSF Advanced Grants,2024,Berne University of Applied Sciences,0,0
SNSF Starting Grants,2024,Pädagogische Hochschule St.Gallen,0,0
SNSF Swiss Postdoctoral Fellowships,2021,Institut Suisse de Spéléologie et Karstologie,0,0
SNSF Swiss Postdoctoral Fellowships,2021,Ente Ospedaliero Cantonale,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Institute of Virology and Immunology,0,0
SNSF Starting Grants,2024,Physikal.-Meteorolog. Observatorium Davos,0,0
SNSF Consolidator Grants,2022,University of St.Gallen,0,0
SNSF Starting Grants,2022,Idiap Research Institute,0,0
SNSF Advanced Grants,2024,Kantonsspital Baden,1,2737624
SNSF Consolidator Grants,2022,Graduate Institute of International and Development Studies,0,0
SNSF Consolidator Grants,2022,Other Hospitals,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Pädagogische Hochschule Zürich,0,0
SNSF Starting Grants,2024,Zurich University of Applied Sciences,0,0
SNSF Swiss Postdoctoral Fellowships,2023,Swiss Institute of Allergy and Asthma Research,0,0
SNSF Swiss Postdoctoral Fellowships,2022,Graduate Institute of International and Development Studies,3,805224
SNSF Swiss Postdoctoral Fellowships,2024,Universitäts-Kinderspital Zürich,0,0
SNSF Advanced Grants,2024,Swiss Federal Laboratories for Materials Science and Technology,0,0
SNSF Swiss Postdoctoral Fellowships,2023,AO Research Institute,0,0
SNSF Swiss Postdoctoral Fellowships,2024,University of Applied Sciences and Arts Northwestern Switzerland (without UTE),1,282264
SNSF Swiss Postdoctoral Fellowships,2022,Theologische Hochschule Chur,0,0
SNSF Swiss Postdoctoral Fellowships,2024,Fernfachhochschule Schweiz (member of SUPSI),0,0
SNSF Advanced Grants,2021,Swiss Federal Laboratories for Materials Science and Technology,1,2249316
SNSF Swiss Postdoctoral Fellowships,2022,Zurich University of the Arts,0,0
SNSF Advanced Grants,2024,Companies/  Private Industry,0,0
SNSF Consolidator Grants,2022,University of Lucerne,0,0
SNSF Swiss Postdoctoral Fellowships,2021,Pädagogische Hochschule St.Gallen,0,0
